epoch,train_loss,val_loss,train_pixel_accuracy,val_pixel_accuracy,train_mean_iou,val_mean_iou
1,1.6330584955215455,1.524041214835978,0.44359965887224373,0.4923668293905003,0.21398378705055726,0.25711118206048594
2,1.4062335815429687,1.3306243040851344,0.5349068133251156,0.555820351230518,0.27900279564143315,0.3008141456304174
3,1.304508659362793,1.2877044265515336,0.5676865312453139,0.5565164857647007,0.3140981620465168,0.3116331093242568
4,1.2429321155548096,1.3854879909586684,0.5843093811338488,0.4971095124535946,0.32895106047537326,0.27510986705060914
5,1.224865119934082,1.2323423768872412,0.5883940406106818,0.5816744442103552,0.3354814947843265,0.3262274400998859
6,1.1753020572662354,1.2434593383396897,0.6105141975219022,0.5796547645492178,0.3557970221222165,0.34896823747610917
7,1.1387584757804872,1.1639022270095682,0.6236905217964251,0.6003372590869439,0.3684289043795875,0.3525983682316407
8,1.0969929475784301,1.1184073931702943,0.6372744131278104,0.6141752633534334,0.38603703311524584,0.3668449530874507
9,1.084633276939392,1.1505703680983215,0.6395252305025995,0.6018737996918877,0.3871501642450126,0.34526446651979337
10,1.08431303024292,1.1207929214584493,0.6378073531785016,0.6126125247921009,0.3857075507065936,0.3647338303864782
11,1.0596680603027344,1.120692580659813,0.64435188111118,0.6213564278270063,0.3921663139880874,0.3670896606062405
12,1.0562700176239013,1.120259167992066,0.646191855587922,0.6095115397123855,0.39520948958336294,0.3593985563161643
13,1.041382444381714,1.092397714329657,0.6511037566874988,0.620488483439297,0.40022865355960663,0.3677610985318327
14,1.0451180324554443,1.1281693906427543,0.6512969264904908,0.617280878769627,0.39982314903397687,0.3703325811064634
15,1.0373132801055909,1.097071083906655,0.6544238086250435,0.6272417073415325,0.4060534593143905,0.3852779534282573
16,1.017898126602173,1.045649321279793,0.6595723564918183,0.6369805234644129,0.40803759390585437,0.38930979351058204
17,0.9975969715118408,1.076541661102081,0.667163240512417,0.6242752457215995,0.41646017469159236,0.37348700400254653
18,0.9982639417648316,1.1776436645293904,0.6635000114523408,0.5917940445830729,0.4123052153870228,0.3479410768893848
19,0.9925027780532837,1.0856329715140511,0.6699012147814969,0.6236856089264114,0.41885677923675124,0.3834128883738925
20,0.9921740870475769,1.116513278996833,0.6675455180753317,0.6241555880789307,0.4192165386935913,0.37120970368225203
21,0.9748473100662232,1.0168179496426448,0.6742537594470673,0.6448061576651504,0.4241097286111697,0.3975388466558183
22,0.9708593606948852,1.059813164104925,0.6723548722424558,0.6300645066796868,0.4217930322906558,0.3891653315393755
23,0.9764566946029664,1.0591820177630844,0.6731495126937274,0.6303327006425323,0.42186743988557784,0.3814032969257757
24,0.9693571062088012,1.0493707133230763,0.675505445260458,0.6355225767286355,0.42408473923552253,0.3864520766773798
25,0.955940484046936,1.0225380057486417,0.679599512953174,0.6451321089830112,0.429370342188863,0.3965432108729686
26,0.9505665807723999,1.0126219352829122,0.6800353832778738,0.6493270719811394,0.43011032533246707,0.40160985101965446
27,0.9361008086204529,1.052560128898264,0.6847549269830724,0.6340651173966981,0.43534695037422416,0.3949583351171743
28,0.9347558493614196,1.0889748513141526,0.6820405649772533,0.6496215857513337,0.43227671738293355,0.404003703020917
29,0.9356670198440552,0.9920276715376667,0.6831722239696287,0.6502680050938575,0.43463771381956373,0.4079993338170973
30,0.9186396255493164,1.011655680487089,0.6849683283812223,0.6576349922813509,0.4345872982646911,0.41193215800982497
31,0.9413704538345337,1.1993986100793999,0.6836226390291895,0.6055198241154504,0.43627748740865047,0.3648687760605276
32,0.9404883961677551,1.0616467934902583,0.6802348426959408,0.6342555704470968,0.4305005054439123,0.39169989772686714
33,0.9023462076187134,0.99683661772826,0.6922937382321958,0.6573186671893261,0.44469241835909734,0.41277626580811955
34,0.9081249618530274,1.0701377302686745,0.6912456787068594,0.6244717913199956,0.4443688287065809,0.38708755808857676
35,0.8979607648849487,0.9557716088874317,0.6922231635097079,0.6652455595377803,0.4445546033468419,0.4220158747241175
36,0.9101990756988525,0.9996154909936067,0.6901654635244518,0.643510150855144,0.4429181575627258,0.4062518858968984
37,0.8993672065734863,1.0407919493791098,0.6941766917452838,0.6408137109624557,0.4482624768983994,0.39329617262861316
38,0.903660439491272,0.9742279554081854,0.6906489252698861,0.6626463567111305,0.44179152555898327,0.4202732708391881
39,0.8850838232040406,0.9997469632425041,0.6983805132210592,0.6518177056024756,0.4508220220274959,0.4115049721120929
40,0.8760789980888367,0.9816005463912109,0.7019324947144958,0.6550406634930991,0.4552723016001232,0.40888239748053834
