epoch,train_loss,val_loss,train_pixel_accuracy,val_pixel_accuracy,train_mean_iou,val_mean_iou
1,0.7556688432693481,0.6857308394440981,0.4195212041006823,0.48105906030733003,0.21388258144113645,0.2565070272476328
2,0.6583077983856201,0.6127504043489973,0.5338173209604724,0.5635146300964317,0.293504146291126,0.3189625943764344
3,0.6032266988754272,0.5896399377662445,0.5510699447651245,0.5564442281454516,0.3203198199779247,0.323150091189518
4,0.5833641309738159,0.5929959834179032,0.557672704050706,0.5446547822176071,0.32546250817636074,0.3132934220858738
5,0.5636582231521606,0.5860943103505072,0.572200299710641,0.5521208342355381,0.3379587119585593,0.31578420873868074
6,0.5529722661972046,0.5822784209919867,0.5819909766037326,0.5270924033603083,0.34720232919704785,0.31537099799550844
7,0.5387289633750916,0.5515647101625104,0.5859457293225366,0.5778453996449506,0.35386453427432046,0.3471786683793783
8,0.5376817979812623,0.5567417490148099,0.5923533270936857,0.5774625439287941,0.36393463165246176,0.34246487122573216
9,0.5320703439712524,0.6291340366702214,0.5897156459783232,0.4787619260103912,0.3664085843156688,0.27312854194719316
10,0.5224600353240967,0.5523156573839276,0.5931751177166978,0.5829459589774121,0.37025025646484266,0.34986586775743234
11,0.5141717143058777,0.5220829638365273,0.6037129484672444,0.6010292506884883,0.38412383471583156,0.37331041331279385
12,0.5139902172088623,0.6145333463900557,0.5968581066508014,0.5257377862385669,0.3761458623549556,0.29689832895639545
13,0.5112285737991333,0.5169896711812956,0.598348561976478,0.5962497686354898,0.3801312625638095,0.3774802132642999
14,0.5069718160629273,0.548136439278861,0.6039446683693004,0.5810665297711749,0.3871158386585591,0.34946985441241796
15,0.4935769443511963,0.5570265778871341,0.6169839052419172,0.5706914079354463,0.39851220921313235,0.34430651870134144
16,0.4945529956817627,0.5831753227198235,0.6170128374712623,0.5375079797147396,0.39665735151602965,0.3172682594308095
17,0.49382375144958496,0.5420138139591039,0.6180357647430281,0.5608471907322109,0.3990372399149318,0.34935558977079906
18,0.4804417734146118,0.5052955289867437,0.6248483875182799,0.6141960998675846,0.4039652117592656,0.3889095936729369
19,0.47859092712402346,0.5013837357547796,0.6367013767810159,0.6100146623260105,0.4137742658754089,0.3866535715919896
20,0.49084900093078615,0.5365561625667822,0.6194328716982993,0.5699362975366488,0.4005128504367545,0.35276652631655503
21,0.4881052794456482,0.5087901342695005,0.6276873363160436,0.5945129050523916,0.40800591150646726,0.3796753453860736
22,0.4794530606269836,0.5066216866546702,0.6237241712370766,0.5989756964604855,0.40586944558334515,0.38543585038600586
23,0.48697106981277466,0.5270055643865995,0.6200091576795492,0.5767577579764552,0.4012202867343731,0.36447639692951717
24,0.48801789903640747,0.5345608497334418,0.6197560530862382,0.5762115001230086,0.39986282595569883,0.3581656846495328
25,0.4836044993400574,0.5065112955102297,0.6303985273075956,0.6112688742567548,0.40907417893588505,0.38598062731422667
26,0.48816488218307497,0.49695107702896973,0.6241195259580015,0.6190938992026926,0.40661333108998254,0.3957406121948526
27,0.47177050924301145,0.4897970936008703,0.6375333880285249,0.6226358629064598,0.41583141331714707,0.4010133918772028
28,0.4778274021148682,0.510021959509805,0.6277989769836253,0.5768772937681642,0.40845614043527334,0.37425467468557566
29,0.47300856685638426,0.4965990542251373,0.636280811186332,0.6105927232800037,0.41661275242627416,0.3908406593301734
30,0.4726033592224121,0.4966180168579672,0.6397008942102993,0.6053389972908876,0.42180124736488034,0.3955953978055996
31,0.465775408744812,0.5080085240791892,0.6416893298095415,0.6107034858025964,0.4208220606599858,0.38361039213303433
32,0.4721736154556274,0.5154115229009468,0.6393571929531782,0.5734925178027299,0.4210299487418385,0.3730898502290839
33,0.46311326503753664,0.4883455121628592,0.6441574271784436,0.625510448902592,0.42312399781944043,0.40429112948291696
34,0.4668763918876648,0.5037029591676231,0.6460039795442849,0.6083030218916217,0.42615013020139153,0.38954796198953423
35,0.4631498351097107,0.4943842553646765,0.6492443106107536,0.6022395962736514,0.42806169497728325,0.3932369473355164
36,0.4684880747795105,0.515533845001292,0.6438385699008689,0.5830894994082308,0.42104096207336167,0.3751914988442908
37,0.4634086389541626,0.4997915920810165,0.6468455300413244,0.6257151585153046,0.42768904684636855,0.3936373437186097
38,0.4629004445075989,0.47304224299493236,0.6488204691748848,0.634212922611115,0.4273183903299309,0.41357712764945187
39,0.47076436281204226,0.5076681698594138,0.6445521791445903,0.5967024449516964,0.4239184226308519,0.38192560478713383
40,0.46656409597396853,0.5093861695761993,0.6450721206574598,0.6099993091050571,0.4236918338968194,0.3842091247958669
