SwanLab 初始化失败，继续使用本地日志：api key not configured (no-tty), call `swanlab.login(api_key=[your_api_key])` or set `swanlab.init(mode="local")`.
Epoch 39: train_loss=0.4708, val_loss=0.5077, val_mIoU=0.3819
Epoch 40: train_loss=0.4666, val_loss=0.5094, val_mIoU=0.3842
SwanLab 初始化失败，继续使用本地日志：api key not configured (no-tty), call `swanlab.login(api_key=[your_api_key])` or set `swanlab.init(mode="local")`.
Epoch 1: train_loss=2.4249, val_loss=3.1530, val_mIoU=0.2002
Epoch 2: train_loss=2.1271, val_loss=2.0754, val_mIoU=0.2902
Epoch 3: train_loss=1.9808, val_loss=1.9477, val_mIoU=0.3170
Epoch 4: train_loss=1.9145, val_loss=1.9032, val_mIoU=0.3450
Epoch 5: train_loss=1.8268, val_loss=1.8883, val_mIoU=0.3305
Epoch 6: train_loss=1.7795, val_loss=1.9276, val_mIoU=0.3361
Epoch 7: train_loss=1.7420, val_loss=1.7855, val_mIoU=0.3624
Epoch 8: train_loss=1.7130, val_loss=1.7571, val_mIoU=0.3579
Epoch 9: train_loss=1.6783, val_loss=1.7598, val_mIoU=0.3505
Epoch 10: train_loss=1.6519, val_loss=1.7423, val_mIoU=0.3658
Epoch 11: train_loss=1.6396, val_loss=1.6974, val_mIoU=0.3803
Epoch 12: train_loss=1.6126, val_loss=1.7389, val_mIoU=0.3696
Epoch 13: train_loss=1.6186, val_loss=1.6484, val_mIoU=0.3924
Epoch 14: train_loss=1.6166, val_loss=1.7337, val_mIoU=0.3627
Epoch 15: train_loss=1.6202, val_loss=1.6364, val_mIoU=0.3954
Epoch 16: train_loss=1.5739, val_loss=1.6689, val_mIoU=0.3852
Epoch 17: train_loss=1.5565, val_loss=1.6401, val_mIoU=0.3917
Epoch 18: train_loss=1.5373, val_loss=1.6686, val_mIoU=0.3798
Epoch 19: train_loss=1.5332, val_loss=1.6774, val_mIoU=0.3872
Epoch 20: train_loss=1.5411, val_loss=1.6540, val_mIoU=0.3892
